2019/07/14 21:47:11 Step 0 ... 讀取config.property
2019/07/14 21:47:11 完成，共計讀取到 1 筆資料
=======================================
2019/07/14 21:47:11 Step 1 ... 根據設定檔逐一爬取資料
----------------------------------
2019/07/14 21:47:11 Step 1.0.1 ... 哈寵誌，跳轉到網址進行爬取
2019/07/14 21:47:14 Step 1.0.2 ... 哈寵誌，針對瀑布流網站進行頁面跳轉
2019/07/14 21:47:20 Step 1.0.3 ... 哈寵誌，訂閱者數量抓取
2019/07/14 21:47:20 Step 1.0.4 ... 哈寵誌，頁面元素解析	，完成，共計讀取到 137 筆資料
2019/07/14 21:52:22 Step 1.0.4.125 .. 2014狗狗聚樂部 - 瑪爾濟斯篇，第0次嘗試內容解析	成功。
2019/07/14 21:52:24 Step 1.0.4.126 .. 2013年12月8日第一屆福壽寵物樂優遊 活動特輯，第0次嘗試內容解析	成功。
2019/07/14 21:52:27 Step 1.0.4.127 .. 2013.05.01 哈Pets義賣會活動特輯，第0次嘗試內容解析	成功。
2019/07/14 21:52:29 Step 1.0.4.128 .. 2013哈PETS義賣會 - 送沙發抽獎公佈！，第0次嘗試內容解析	成功。
2019/07/14 21:52:33 Step 1.0.4.129 .. Hotpets哈寵誌2013寵物訓練封面拍攝花絮，第0次嘗試內容解析	成功。
2019/07/14 21:52:35 Step 1.0.4.130 .. 【全員協尋副社長！！！活動得獎名單抽出】，第0次嘗試內容解析	成功。
2019/07/14 21:52:38 Step 1.0.4.131 .. FB猜封面 - 所有留言名單，第0次嘗試內容解析	成功。
2019/07/14 21:52:40 Step 1.0.4.132 .. FB猜封面 - 抽獎結果，第0次嘗試內容解析	成功。
2019/07/14 21:52:42 Step 1.0.4.133 .. 社長媽媽買的新玩具，第0次嘗試內容解析	成功。
2019/07/14 21:52:45 Step 1.0.4.134 .. 你丟我撿，第0次嘗試內容解析	成功。
2019/07/14 21:52:47 Step 1.0.4.135 .. 大編姊姊好壞，把我嚇到跳起來，第0次嘗試內容解析	成功。
2019/07/14 21:52:49 Step 1.0.4.136 .. 熊熊揮拳偷打洋蔥，第0次嘗試內容解析	成功。
=======================================2019/07/14 21:52:50 Step 2 ... 輸出文字檔
2019/07/14 21:52:50 完成，共計輸出 137 筆資料
=======================================
